Device Name;Region;Type;Famille;Produit;Edition;Version
Device 1;EMEA;Desktop;Office;Office;Small Business;2007
Device 2;EMEA;Desktop;Office;Office;Professional;2010
Device 3;EMEA;Desktop;Office;Office;Small Business;2007
Device 4;EMEA;Desktop;Office;Project;Standard;2010
Device 4;EMEA;Desktop;Office;Office;Professional;2010
Device 5;EMEA;Desktop;Office;Office;Small Business;2007
Device 6;EMEA;Desktop;Office;Office;Professional;2010
Device 7;EMEA;Desktop;Office;Office;Small Business;2007
Device 7;EMEA;Desktop;Office;Visio;Standard;2003
Device 8;EMEA;Desktop;Office;Office;Professional;2010
Device 9;EMEA;Desktop;Office;Office;Small Business;2007
Device 10;EMEA;Desktop;Office;Project;Standard;2010
Device 10;EMEA;Desktop;Office;Office;Professional;2010
Device 11;EMEA;Desktop;Office;Office;Home and Business;2010
Device 12;EMEA;Desktop;Office;Office;Home and Business;2010
Device 13;EMEA;Desktop;Office;Office;Home and Business;2010
Device 14;EMEA;Desktop;Office;Office;Home and Business;2010
Device 15;EMEA;Desktop;Office;Office;Home and Business;2010
Device 16;EMEA;Desktop;Office;Office;Home and Business;2010
Device 16;EMEA;Desktop;Office;Visio;Standard;2010
Device 16;EMEA;Desktop;Office;Project;Standard;2007
Device 17;EMEA;Desktop;Office;Office;Professional;2010
Device 18;EMEA;Desktop;Office;Office;Home and Business;2010
Device 19;EMEA;Desktop;Office;Office;Professional;2010
Device 20;EMEA;Desktop;Office;Office;Professional;2010
Device 21;EMEA;Desktop;Office;Office;Home and Business;2013
Device 21;EMEA;Desktop;Office;Office;Small Business;2007
Device 22;EMEA;Desktop;Office;Office;Small Business;2007
Device 23;EMEA;Desktop;Office;Office;Small Business;2007
Device 24;EMEA;Desktop;Office;Office;Professional;2010
Device 25;EMEA;Desktop;Office;Office;Professional;2010
Device 26;EMEA;Desktop;Office;Office;Professional;2010
Device 27;EMEA;Desktop;Office;Office;Small Business;2007
Device 27;EMEA;Desktop;Office;Visio;Standard;2007
Device 28;EMEA;Desktop;Office;Office;Professional;2013
Device 29;EMEA;Desktop;Office;Office;Professional;2010
Device 30;EMEA;Desktop;Office;Office;Professional;2010
Device 31;EMEA;Desktop;Office;Office;Home and Business;2010
Device 32;EMEA;Desktop;Office;Office;Home and Business;2010
Device 32;EMEA;Desktop;Office;Project;Standard;2007
Device 33;EMEA;Desktop;Office;Office;Professional;2010
Device 34;EMEA;Desktop;Office;Office;Professional;2010
Device 34;EMEA;Desktop;Office;Project;Standard;2013
Device 35;EMEA;Desktop;Office;Office;Home and Business;2010
Device 35;EMEA;Desktop;Office;Visio;Standard;2007
Device 36;EMEA;Desktop;Office;Office;Professional;2010
Device 37;EMEA;Desktop;Office;Office;Professional;2010
Device 38;EMEA;Desktop;Office;Office;Home and Business;2013
Device 39;EMEA;Desktop;Office;Office;Professional;2010
Device 40;EMEA;Desktop;Office;Office;Professional;2010
Device 41;EMEA;Desktop;Office;Office;Home and Business;2016
Device 42;EMEA;Desktop;Office;Office;Professional;2010
Device 43;EMEA;Desktop;Office;Office;Home and Business;2010
Device 44;EMEA;Desktop;Office;Office;Home and Business;2010
Device 45;EMEA;Desktop;Office;Office;Home and Business;2010
Device 46;EMEA;Desktop;Office;Office;Home and Business;2010
Device 47;EMEA;Desktop;Office;Office;Home and Business;2010
Device 48;EMEA;Desktop;Office;Office;Home and Business;2010
Device 49;EMEA;Desktop;Office;Office;Home and Business;2010
Device 49;EMEA;Desktop;Office;Office;Small Business;2007
Device 50;EMEA;Desktop;Office;Office;Home and Business;2010
Device 51;EMEA;Desktop;Office;Office;Small Business;2007
Device 52;EMEA;Desktop;Office;Office;Professional;2010
Device 53;EMEA;Desktop;Office;Office;Professional;2010
Device 54;EMEA;Desktop;Office;Office;Professional;2010
Device 55;EMEA;Desktop;Office;Office;Small Business;2007
Device 56;EMEA;Desktop;Office;Office;Home and Business;2010
